,MAQCA,MAQCB
ENSG00000044090,25.41,26.5
ENSG00000044115,19.73,21.01
ENSG00000044446,20.66,22.5
ENSG00000044459,23.5,24.35
ENSG00000044524,22.48,24.22
ENSG00000046604,21.18,27.63
ENSG00000046647,21.42,22.13
ENSG00000046651,21.24,22.69
ENSG00000046653,22.83,18.06
ENSG00000046774,23.74,0
ENSG00000046889,23.76,21.19
ENSG00000047056,22.15,20.86
ENSG00000047188,22.05,23.35
ENSG00000047230,23.78,25.2
ENSG00000047249,26.52,19.64
ENSG00000047315,20.28,20.73
ENSG00000047346,22.17,21.76
ENSG00000047365,24.18,21.1
ENSG00000047410,19.07,20.62
ENSG00000047457,19.59,22.1
ENSG00000047578,22.61,23.67
ENSG00000047579,21.49,21.62
ENSG00000047597,22.67,22.61
ENSG00000047617,26.55,26.03
ENSG00000047621,22.94,22.59
ENSG00000047634,21.08,22.52
ENSG00000047644,22.23,22.6
ENSG00000047648,22.45,24.41
ENSG00000047662,28.69,25.58
ENSG00000047849,20.44,20.34
ENSG00000047932,21.3,20.98
ENSG00000047936,35.18,27.73
ENSG00000048028,21.21,22.53
ENSG00000048052,22.22,21.13
ENSG00000048140,22.39,23.05
ENSG00000048162,24.69,25.01
ENSG00000048342,24.85,25.46
ENSG00000048392,21.38,21.53
ENSG00000048405,20.16,21.27
ENSG00000048462,23.36,26.96
ENSG00000048471,24.99,24.61
ENSG00000048540,25.56,19.85
ENSG00000048544,19.76,21.15
ENSG00000048545,0,32.12
ENSG00000048649,20.29,20
ENSG00000048707,21.86,20.85
ENSG00000048740,22.96,20.06
ENSG00000048828,18.59,19.56
ENSG00000048991,27.05,25.89
ENSG00000049089,22.8,21.47
ENSG00000049130,23.01,21.56
ENSG00000049167,21.79,22.91
ENSG00000049192,23.87,26.23
ENSG00000049239,21.87,23.91
ENSG00000049245,20.19,20.9
ENSG00000049246,22.36,21.24
ENSG00000049247,23.24,32.05
ENSG00000049249,26.27,31.57
ENSG00000049283,25.79,25.17
ENSG00000049323,25.1,30.03
ENSG00000049449,19.24,21.19
ENSG00000049540,28.11,25.04
ENSG00000049541,20.71,22.99
ENSG00000049618,21.2,20.61
ENSG00000049656,21.35,24.03
ENSG00000049759,20.84,21.04
ENSG00000049768,28.32,27.88
ENSG00000049769,24.49,21.34
ENSG00000049860,18.95,21.65
ENSG00000049883,22.42,23.55
ENSG00000050030,28.4,25.07
ENSG00000050130,20.43,20.63
ENSG00000050165,20.74,18.1
ENSG00000050327,24.28,27.92
ENSG00000050344,22.43,22.57
ENSG00000050393,34.09,37.21
ENSG00000050405,20.86,21.11
ENSG00000050426,20.2,21.61
ENSG00000050438,22.89,20.35
ENSG00000050555,24.54,25.54
ENSG00000050628,23.92,25.34
ENSG00000050730,37.05,38.62
ENSG00000050748,21.23,19.86
ENSG00000050767,25.16,24.9
ENSG00000050820,20.69,20.51
ENSG00000051009,22.33,22.28
ENSG00000051108,19.84,20.63
ENSG00000051128,21.19,21.38
ENSG00000051180,21.5,27.53
ENSG00000051341,22.85,29.3
ENSG00000051382,21.42,21.37
ENSG00000051523,19.2,23.12
ENSG00000051620,19.97,21.38
ENSG00000052126,20.23,21.15
ENSG00000052344,24.58,28.91
ENSG00000052723,20.34,22.13
ENSG00000052749,21.44,23.11
ENSG00000052795,21.62,21.03
ENSG00000052802,19.65,20.2
ENSG00000052841,20.53,22.06
ENSG00000052850,30.56,30.42
ENSG00000053108,25.24,21.6
ENSG00000053254,21.26,20.74
ENSG00000053328,28.04,24.06
ENSG00000053372,26.2,24.1
ENSG00000053438,25.87,22.1
ENSG00000053501,21.57,22
ENSG00000053524,24.4,20.59
ENSG00000053702,33.67,22.22
ENSG00000053747,25.37,26.78
ENSG00000053770,20.49,20.59
ENSG00000053900,23.89,24.1
ENSG00000053918,26.38,27.78
ENSG00000054116,20.36,21.48
ENSG00000054118,19.35,20.28
ENSG00000054148,19.24,20.8
ENSG00000054179,23.93,23.72
ENSG00000054219,30.2,26.73
ENSG00000054356,26.34,20.28
ENSG00000054392,24.85,25.41
ENSG00000054523,20.14,17.67
ENSG00000054598,22.18,23.79
ENSG00000054611,28.09,28.57
ENSG00000054654,21.49,22.11
ENSG00000054690,23.94,21.05
ENSG00000054796,35.04,0
ENSG00000054938,28.91,28.69
ENSG00000054965,22.58,20.97
ENSG00000054967,22.51,23.64
ENSG00000054983,23.12,21.56
ENSG00000055044,20.21,22.13
ENSG00000055070,20,21.81
ENSG00000055118,26.03,25.38
ENSG00000055130,20.76,21.04
ENSG00000055147,23.2,24.68
ENSG00000055163,21.36,19.17
ENSG00000055208,21.15,20.98
ENSG00000055211,20.53,20.61
ENSG00000055332,20.43,21.29
ENSG00000055483,21.39,22.64
ENSG00000055609,21.26,21.24
ENSG00000055732,25.05,29.51
ENSG00000055813,32.71,22.46
ENSG00000055917,19.76,19.84
ENSG00000055950,21.96,22.65
ENSG00000055955,37.66,34.48
ENSG00000055957,26.13,30.46
ENSG00000056050,23.71,23.9
ENSG00000056097,19.75,19.84
ENSG00000056277,22.83,24.25
ENSG00000056291,27.13,26.32
ENSG00000056487,27.46,27.21
ENSG00000056558,23.5,24.61
ENSG00000056586,20.59,20.53
ENSG00000056661,20.32,21.62
ENSG00000056736,23.43,23.02
ENSG00000056972,22.24,23.37
ENSG00000056998,38.21,40.36
ENSG00000057019,19.41,22.37
ENSG00000057252,0,0
ENSG00000057294,21.7,23.69
ENSG00000057468,29.73,26
ENSG00000057593,24.78,27.03
ENSG00000057608,19.63,19.19
ENSG00000057657,23.5,24.67
ENSG00000057663,21.04,21.23
ENSG00000057704,25.5,22.75
ENSG00000057757,21.38,19.8
ENSG00000057935,20.68,21.26
ENSG00000058056,20.7,22.13
ENSG00000058063,20.83,22.36
ENSG00000058085,28.03,25.92
ENSG00000058091,21.31,19.89
ENSG00000058262,18.43,20.59
ENSG00000058272,19.73,19.85
ENSG00000058335,27.11,20.81
ENSG00000058404,32.13,19.1
ENSG00000058453,24.69,24.26
ENSG00000058600,21.15,23.11
ENSG00000058668,19.53,19.88
ENSG00000058673,20.48,20.01
ENSG00000058729,22.31,23.37
ENSG00000058799,23.07,23.21
ENSG00000058804,20.49,22.96
ENSG00000058866,27.89,20.33
ENSG00000059122,23.92,22.85
ENSG00000059145,21.26,21.86
ENSG00000059377,26.26,24.62
ENSG00000059378,21.89,24.23
ENSG00000059573,20.46,22.86
ENSG00000059691,21.83,21.42
ENSG00000059728,23.04,22.96
ENSG00000059758,21.02,20.06
ENSG00000059769,21.43,23.12
ENSG00000059804,22.21,25.02
ENSG00000059915,27.25,20.6
ENSG00000060069,23.71,26.04
ENSG00000060138,18.78,21.89
ENSG00000060140,27.63,25.06
ENSG00000060237,19.44,19.02
ENSG00000060339,21.22,22.37
ENSG00000060491,22.17,22.46
ENSG00000060558,22.11,24.97
ENSG00000060566,28.03,28.96
ENSG00000060642,22.91,24
ENSG00000060656,23.37,24.22
